,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000140988,36943.63593780601,-0.5991860399516643,0.09992155795675496,5.996564227020819,2.0153592251489063e-09,5.3998191505823036e-06
ENSG00000089157,31618.988306128947,-0.6113036263942571,0.0998725304222199,6.120838470898026,9.308422961246291e-10,5.3998191505823036e-06
ENSG00000187840,4844.62867938319,-0.6540478895219358,0.10828785854952784,6.039900486376251,1.542093044239471e-09,5.3998191505823036e-06
ENSG00000138061,4746.343772484715,0.5982979134972595,0.10801622116764939,-5.538963565191339,3.0426693061776604e-08,6.114243970764008e-05
ENSG00000173207,1912.5893008451985,-0.6337237380898285,0.12055451355863477,5.256740037208153,1.4663135358646568e-07,0.00023572456402560222
ENSG00000123416,15287.839326466641,-0.5438217319889928,0.10641837395916551,5.110224031403319,3.21777017522451e-07,0.00029956002302042404
ENSG00000099901,5193.996045491314,-0.5694661576190462,0.11001945498055384,5.176049615222149,2.2663321205332405e-07,0.00029956002302042404
ENSG00000161981,1784.6201268399388,-0.6343213293880634,0.12431876255266278,5.1023780832708825,3.3541181975414487e-07,0.00029956002302042404
ENSG00000175063,2023.7717845575937,-0.5982535025963105,0.11694710806050852,5.115590393964883,3.1276111823335073e-07,0.00029956002302042404
ENSG00000100142,5209.888058700568,-0.5357174544688872,0.10733671241514156,4.9909992808137815,6.006772138923637e-07,0.0004828243445266819
ENSG00000163170,1425.4253183466567,-0.6645654756312408,0.13557611937286831,4.901788594520243,9.496800545010215e-07,0.0005089018852052808
ENSG00000110717,4103.64749172838,-0.5491133311378412,0.11183300130770865,4.910118880087597,9.102119602403916e-07,0.0005089018852052808
ENSG00000104979,2514.8774477392717,-0.5743055971802405,0.11625770036524072,4.939935981668094,7.814822389433674e-07,0.0005089018852052808
ENSG00000179958,4335.059158276439,-0.5970259493711148,0.12145589485301159,4.915578203047681,8.852080474969719e-07,0.0005089018852052808
ENSG00000137801,4410.936933345289,0.5610347076125071,0.11331148044817409,-4.9512609436703165,7.373415590457366e-07,0.0005089018852052808
