,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000119922,7423.809813807542,6.226836350087363,0.12954781802329052,-48.065929979367795,0.0,0.0
ENSG00000177409,5020.768078300509,4.523739430427266,0.11687110080009236,-38.70708326915743,0.0,0.0
ENSG00000119917,6030.690255072473,4.863030105244148,0.1331018002238487,-36.536170788566146,2.9568289073728906e-292,1.38083909974314e-288
ENSG00000185745,7111.13950452382,4.597370832437874,0.12786274915534213,-35.95551372708613,4.1505954483941046e-283,1.4537460558000352e-279
ENSG00000134321,4116.517564645846,4.691396130736399,0.14603859390884363,-32.124358398470605,2.0150764928380878e-226,5.646244332932322e-223
ENSG00000135114,2253.6263907959374,4.286941858066295,0.13564247083438574,-31.604716662087988,3.1803184934458847e-219,7.42604368219614e-216
ENSG00000130589,6858.064564527214,3.043477159169093,0.10450752731394644,-29.122085627634434,1.885942684471029e-186,3.7745795727770165e-183
ENSG00000183486,1818.8735931004708,3.7936299893008125,0.13247446559228357,-28.636688378698285,2.3482263605390887e-180,4.112331413894079e-177
ENSG00000184979,1994.2253501241555,3.8440536538758567,0.1383688072127169,-27.781215516054296,7.315936722311755e-170,1.13884748310653e-166
ENSG00000117228,2012.9149706813728,3.7526992206109466,0.1378840045129433,-27.21634923403082,4.160281039883036e-163,5.828553736876134e-160
ENSG00000134326,993.3298188630594,4.047589632507163,0.1574963500811331,-25.699577357964657,1.1816668274704085e-145,1.5050138411691295e-142
ENSG00000181381,2568.1273740103843,3.457182153877874,0.13489757606500205,-25.628200704006634,7.400158088912136e-145,8.639684568804918e-142
ENSG00000173821,9416.756908988356,2.6036433547124322,0.10389834803609813,-25.059526007168376,1.3746366971554206e-138,1.481435394395957e-135
ENSG00000121858,4851.161902535602,2.9319119838664114,0.11745668613627507,-24.96164399244809,1.5961461162854455e-137,1.5972862206542207e-134
ENSG00000137959,4671.822838220526,2.64192756437048,0.10671029173499885,-24.757945287333335,2.5459337516441133e-135,2.377902124035602e-132
ENSG00000173193,9210.071201219123,2.685799130696998,0.10887115125423225,-24.66952080285447,2.272266569084999e-134,1.9896534145550523e-131
ENSG00000125347,3842.990850393966,2.9799606774822127,0.12379867244726636,-24.071022883961582,5.029406404796559e-128,4.1448225724235175e-125
ENSG00000137965,3376.31665564418,2.7456780990177663,0.11537983256239856,-23.7968632649287,3.599096067622552e-125,2.801296439299553e-122
ENSG00000115267,3527.734034812045,3.013672289168098,0.12685011774987137,-23.75774136142774,9.138859764726199e-125,6.738706594937581e-122
ENSG00000166750,2476.2689713521513,2.943826373572281,0.12472632200952444,-23.602286399076874,3.6512980603603476e-123,2.5577342912824236e-120
ENSG00000132530,5198.222696722408,3.486991368349886,0.14831957732606918,-23.509987226325514,3.2239710905960244e-122,2.1508492847262047e-119
ENSG00000107201,3548.795416031924,3.2646615708435904,0.13943505131433148,-23.413492805937242,3.1144538461463195e-121,1.9833408356595425e-118
ENSG00000205413,8093.776846392557,3.1373184254635342,0.1347362785116232,-23.284882587824253,6.30851904880444e-120,3.842710951032618e-117
ENSG00000221963,4040.3088841384383,3.2094932016730855,0.14064535466164477,-22.819759738203018,2.918994084895988e-115,1.703962797058033e-112
ENSG00000112343,3650.759782495291,2.546734743876437,0.11187198063771515,-22.764723833072658,1.0257777436800886e-114,5.748458475583217e-112
ENSG00000170581,3044.1705985071276,2.7094745976278456,0.12050781575888365,-22.483808046517574,5.978460255503968e-112,3.221470314600407e-109
ENSG00000168062,648.6990797784465,4.332640823495507,0.19842017105221627,-21.835687372506744,1.0633132994847036e-105,5.517414565103962e-103
ENSG00000138646,846.4321394110086,3.8512418530601598,0.17641493583774442,-21.830588406654492,1.1888052184641258e-105,5.948271825243715e-103
ENSG00000168016,593.7403284275547,4.409501593235833,0.20402551655281698,-21.6125005721739,1.3702337255491058e-103,6.619646377566543e-101
ENSG00000111335,2153.4200308927793,3.0231523040387134,0.14051584343748835,-21.514672154272986,1.134787280588501e-102,5.2994566003483e-100
ENSG00000006210,819.443108667002,3.3353823878745104,0.15508254865604537,-21.50714194974956,1.334791783769066e-102,6.03239770664665e-100
ENSG00000163644,1497.06753908988,2.8759456866501014,0.13812097200327478,-20.821933446731855,2.7390771268742786e-96,1.1992022046096452e-93
ENSG00000157601,8124.3933071809315,2.3857775850824257,0.11621738216223147,-20.528577917475754,1.196247624548687e-93,5.078614915129426e-91
ENSG00000185507,4359.7085206855045,2.4974305716667,0.12253759298433424,-20.38093380850057,2.46899899443214e-92,1.0173728209410082e-89
ENSG00000163565,1856.518334514557,2.493971831130363,0.1236762729233048,-20.165321707882857,1.9745857031730778e-90,7.903984486129948e-88
ENSG00000124201,7507.60278510354,2.0557839937877973,0.1023796805889952,-20.080000073850336,1.1039462009690734e-89,4.296190632104644e-87
ENSG00000089127,4193.2034193173395,2.332074965719742,0.11634370368705664,-20.04470282287556,2.2451847509930706e-89,8.501361719300789e-87
ENSG00000010030,424.7057319484883,4.543496854232366,0.2272414610304902,-19.994136781327686,6.194142120669583e-89,2.2836823976468646e-86
ENSG00000128335,8801.909013042068,2.0448810717507016,0.10263184367799902,-19.92443084396289,2.4987100366935735e-88,8.97613528566076e-86
ENSG00000132274,427.85324971365355,4.565511672863894,0.24191158923647726,-18.87264552836674,1.9146879732287718e-79,6.706194626233773e-77
ENSG00000196684,2124.4977943593776,2.627162135409858,0.14399571398244193,-18.244724532080173,2.2788273509644556e-74,7.786919801710249e-72
ENSG00000133106,768.5102408664443,2.985763241482291,0.1643606817538721,-18.165921494250256,9.608024089538467e-74,3.2049623212960455e-71
ENSG00000136244,1685.32704681012,2.271247760819191,0.12667624201282948,-17.929547993610075,6.934110221809529e-72,2.2592298652918954e-69
ENSG00000130813,1461.093153891587,2.198169293314257,0.1267674863832411,-17.340166284190513,2.3405884319335705e-67,7.452646348043029e-65
ENSG00000122643,3291.932715566407,2.0007584947006256,0.11546923625717855,-17.327199516973003,2.9326526789078216e-67,9.130325340333017e-65
ENSG00000136514,425.8732716688779,3.2774955367162644,0.19253653225024017,-17.022720303575927,5.572065361375443e-65,1.6970572981058688e-62
ENSG00000140853,316.55306368061713,3.976740029190235,0.23689292800171854,-16.78707786988637,3.0342090689740437e-63,9.044525331133267e-61
ENSG00000131203,274.1345744193758,4.6664432211710185,0.27827085398500284,-16.769428613686262,4.0841721266650705e-63,1.1920677394703674e-60
ENSG00000078081,674.3879650439956,2.855413414009858,0.17084122161224066,-16.713843339816467,1.0391668419828986e-62,2.971168868608247e-60
ENSG00000113369,689.1499632787595,2.4948189739948226,0.1526035121570443,-16.34837192624639,4.467577945345382e-60,1.251815340285776e-57
