,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000070669,5538.801686180499,-1.4474768057326146,0.12367267461398158,-11.704095591452283,1.2144721417990966e-31,1.4208109586907632e-27
ENSG00000166592,431.54739306717715,1.812637342752005,0.1874533995610632,9.669802452217123,4.0515939722945396e-22,2.369979894093691e-18
ENSG00000159167,651.5078901223262,1.4353781508851828,0.1734015622509941,8.277769428671649,1.2550393590630186e-16,4.894235153892751e-13
ENSG00000128965,474.95718299367275,-1.5273667290071442,0.20501611771879671,-7.449983669586915,9.335178621459672e-14,2.7303063673114176e-10
ENSG00000161057,3560.6098692915366,0.9383505403289852,0.12710090577856578,7.382721111081398,1.5508667065272328e-13,3.6287179199324194e-10
ENSG00000168209,427.6751070855495,-1.465731555551878,0.199328571111394,-7.3533440157595855,1.9330856466124774e-13,3.769194829953229e-10
ENSG00000167522,20509.7366933254,-0.9719823893561619,0.1341792606504372,-7.243909264698984,4.3593312078563113e-13,7.28568797153014e-10
ENSG00000186481,832.693582503103,-1.3732814523839199,0.19121033898376244,-7.182046011123586,6.86757993387013e-13,1.004297720579333e-09
ENSG00000232931,877.0704201254416,-1.3255270875941547,0.19127646782425142,-6.929901532958435,4.2113364532218096e-12,5.474269462915772e-09
ENSG00000221867,945.8670060747334,1.1226328656154199,0.1628194715623653,6.8949546073512105,5.3882005662802775e-12,6.303655842491297e-09
ENSG00000023445,11929.188540950407,1.1235248469720966,0.16495534219417884,6.811084939883475,9.686541453218605e-12,9.698721058439672e-09
ENSG00000132646,5864.0161919627935,0.8567387593422602,0.12585682425539202,6.807249145296588,9.948256492116938e-12,9.698721058439672e-09
ENSG00000155090,837.9107211472824,1.0189775584292653,0.1512398462087588,6.73749401346755,1.6114157805386357e-11,1.4501502474247307e-08
ENSG00000116459,4076.2680131274337,0.827962131522366,0.12512754489812908,6.616945391172186,3.666968766780876e-11,3.064276257326391e-08
ENSG00000185561,478.3642803364895,-1.1757423935637727,0.18136559169616345,-6.482720247914831,9.008343916601774e-11,7.025907698688276e-08
ENSG00000115539,1202.0758594947724,0.8819160299014484,0.14139212031806647,6.23737749966227,4.449673046055628e-10,3.2535453103627997e-07
ENSG00000056558,894.5929924613274,0.9466063431949604,0.15216834629948794,6.2207835349140925,4.946782512427662e-10,3.4042593301700715e-07
ENSG00000228393,564.7347425429242,-1.1663009891499043,0.18896653886902787,-6.171997413564652,6.743260403417372e-10,4.382744636643324e-07
ENSG00000162704,2444.4779405746235,0.8701371814523169,0.1415742635652391,6.146153683161115,7.938437206656116e-10,4.532428016143836e-07
ENSG00000165672,1877.5704279765503,0.8148878674797698,0.13277103621117248,6.1375424244161945,8.380784268699675e-10,4.532428016143836e-07
ENSG00000251493,2588.115273302904,0.8593362050285916,0.14007422113251203,6.134863346594292,8.523242700672228e-10,4.532428016143836e-07
ENSG00000153157,529.4333177475256,-1.1370587754410106,0.18512948719138428,-6.141964700985398,8.150697337664168e-10,4.532428016143836e-07
ENSG00000150687,1177.3756202309062,0.8724523456057526,0.14294637262767537,6.103354212968955,1.0386530727603736e-09,5.283131434010266e-07
ENSG00000106588,6316.200528615977,0.762435162769849,0.12540977546158133,6.079551294654995,1.205193243492174e-09,5.440810500368463e-07
ENSG00000220201,411.5995635293935,-1.2528955142247138,0.20610146958416256,-6.07902271028246,1.2091723481458248e-09,5.440810500368463e-07
ENSG00000162909,1996.748832687152,0.8846001392572592,0.14542628459772303,6.082807806747128,1.1809588042341906e-09,5.440810500368463e-07
ENSG00000196937,3494.1549973451583,0.8073416517345277,0.13322269406741183,6.060091018171468,1.3604454340251615e-09,5.894759678763098e-07
ENSG00000165629,2259.5224382972783,0.8936753827468464,0.15016259832124393,5.951384650623854,2.6588337998129877e-09,1.1109177365718622e-06
ENSG00000130766,714.1617367422209,-0.9258687773185393,0.15660257254062687,-5.912219462923218,3.375284021667151e-09,1.3616361299822068e-06
ENSG00000013275,8583.67549672036,0.7885436261317436,0.1335784433549986,5.903225148657459,3.5646326597021548e-09,1.3900879161951835e-06
ENSG00000266402,2783.447054998499,-0.988073862053035,0.16902029226920645,-5.84588896864102,5.038700619080308e-09,1.9015405981490492e-06
ENSG00000108561,13056.297618940458,0.692922007788494,0.11889972013195743,5.82778501933793,5.616786878274512e-09,2.0534621777791723e-06
ENSG00000142408,1630.3035015873734,-0.9958892039767463,0.17150406292806125,-5.8067965678135565,6.3679429556299215e-09,2.2575322617549834e-06
ENSG00000113739,1006.1771814045655,-0.9139778971080113,0.1587737070741185,-5.756481434809288,8.588522255182532e-09,2.955209466570013e-06
ENSG00000115514,878.7773007129981,0.9294782138075827,0.16203083887037845,5.736427832427303,9.669422308179444e-09,3.2320734738111808e-06
ENSG00000131876,2838.1754890103593,0.7460061355686156,0.13139313040668038,5.677664678964728,1.3654604999977357e-08,4.317438483641489e-06
ENSG00000175606,2446.4797300419878,0.7582572934028472,0.1335160026674352,5.67914915256662,1.3536640346216632e-08,4.317438483641489e-06
ENSG00000275395,673.5443968971354,-0.9419286197387093,0.16668261686857766,-5.651030907928336,1.5948840793548853e-08,4.910144432729685e-06
ENSG00000100889,701.7835309240919,-0.9258584905039439,0.16445000648048638,-5.6300301247711175,1.8017814901504726e-08,5.269760413317595e-06
ENSG00000115641,2184.2271430925184,0.805307728165533,0.1429426924879425,5.633780322372634,1.7630157178208344e-08,5.269760413317595e-06
ENSG00000005022,5882.2220666424455,0.736911237064067,0.13102097721745273,5.624375979435958,1.8617975450420388e-08,5.3124803608406856e-06
ENSG00000116285,14231.701541080743,0.8160719258982165,0.14565995450762814,5.602582594898993,2.1118134953929525e-08,5.882406210143369e-06
ENSG00000204839,556.5207335055395,-1.1341183432985793,0.20415845430022247,-5.555088801910778,2.7747066306607426e-08,7.549137877232564e-06
ENSG00000175197,1255.1766953396777,-1.0435057392570282,0.1886578265207607,-5.531208317732826,3.180323565817505e-08,8.456046681022497e-06
ENSG00000231208,502.71205588324113,-0.9814600095943704,0.17811375242763264,-5.510298874833577,3.58224919380078e-08,9.313051848505627e-06
ENSG00000124299,2082.7236055608605,0.8063932457344318,0.14689362033784895,5.48964103328492,4.027514212624356e-08,1.024301929858529e-05
ENSG00000188042,1750.7548378290696,0.780799867225629,0.1425264906132971,5.478278907070653,4.294827908864488e-08,1.0690466320384179e-05
ENSG00000165617,192.5015797666091,1.3182715888124974,0.24085038595136393,5.473404510461122,4.41470814358952e-08,1.0759931369136206e-05
