,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000023445,10781.951801870744,1.3995081829771734,0.10795916292856854,12.963310802096174,1.9753407516796918e-38,2.3111486794652396e-34
ENSG00000070669,5381.464019892233,-1.4786556760993879,0.12019967799264758,-12.3016608762449,8.873064162752184e-35,5.190742535210027e-31
ENSG00000166592,401.1900956262902,2.000269637315964,0.17963237019444875,11.135351802966852,8.441105379581945e-29,3.2920310980369588e-25
ENSG00000159167,610.3913887590255,1.551197111760853,0.15116123470655962,10.26187113893387,1.0465881090365483e-24,3.0612702189319037e-21
ENSG00000266402,2904.529717335731,-1.1738476110873286,0.13288633627465185,-8.833471100152837,1.0147656132899448e-18,2.3745515350984708e-15
ENSG00000260260,2609.68339187961,-0.9725184782947642,0.11093779806242406,-8.766340194958023,1.8456777111645824e-18,3.599071536770936e-15
ENSG00000185697,5844.120573343487,0.9480249692613716,0.10935686622144453,8.669094150354017,4.355716918072649e-18,7.280269705921427e-15
ENSG00000056558,807.5419821559666,1.2001513701741617,0.13929030454374694,8.616187423132741,6.9220416415443466e-18,1.0123485900758607e-14
ENSG00000080824,250891.94758025213,-1.026423264973125,0.12264281856642678,-8.369208054503293,5.800675341821978e-17,7.540877944368572e-14
ENSG00000116717,2838.0737038785014,0.916173848935055,0.11015936478155253,8.316804029796648,9.03669873168743e-17,1.0572937516074293e-13
ENSG00000120708,3076.487326228626,0.8959600986747269,0.10970222710391284,8.167200633274746,3.1562774018896377e-16,3.357131418373524e-13
ENSG00000197061,8293.774882755071,-0.8426978365467259,0.10389865315398797,-8.110767666042458,5.030095250404574e-16,4.904342869144459e-13
ENSG00000150687,1075.6039935468978,1.063765688944654,0.1317018795299127,8.07707295250139,6.633986243157433e-16,5.97058761884169e-13
ENSG00000130164,5364.435320964125,-0.8446952227764355,0.10692859073537174,-7.899619895551585,2.7975522595461315e-15,2.1820907624459825e-12
ENSG00000092621,2594.68430520721,-1.078954008324957,0.13655263141422552,-7.901378370747059,2.758359314926355e-15,2.1820907624459825e-12
ENSG00000137801,1792.618525990964,0.8931551862882641,0.11927874362772287,7.487966079487411,6.994909816286568e-14,5.1150278031595525e-11
ENSG00000185561,483.07302294039243,-1.2852933618680622,0.17271228364901334,-7.441817887603414,9.930906803577686e-14,6.834800564815232e-11
ENSG00000139211,3310.9625864309296,0.7896344860688598,0.10711017953250034,7.372170315793951,1.6787235546830513e-13,1.0911703105439834e-10
ENSG00000134324,2843.5468615651744,-0.7931812864523079,0.10788104700619545,-7.3523691924009285,1.94724064553265e-13,1.199090292249053e-10
ENSG00000167522,18417.928368205812,-0.8330849275797572,0.1156186524771903,-7.205454394515724,5.785060426494435e-13,3.3842603494992446e-10
ENSG00000183421,459.35493910793286,1.1703017698017175,0.1632792014173226,7.16748832455741,7.638617983545509e-13,4.255801447975355e-10
ENSG00000132646,5758.051917178311,0.7502948178875991,0.10591556865251814,7.083895478568635,1.4015763632361153e-12,7.453837931755705e-10
ENSG00000117318,3782.7161627151563,0.9323492430321214,0.13232692384443145,7.045801534147552,1.8439692480970523e-12,8.98935008447313e-10
ENSG00000161057,3505.7878618501454,0.8162244140245483,0.11580742230978687,7.048118313532044,1.8135341469135975e-12,8.98935008447313e-10
ENSG00000116285,13004.516943706189,1.0025103131864386,0.14252825402099814,7.033765480904176,2.010329148237336e-12,9.408340413750734e-10
ENSG00000251493,2516.0684013863515,0.793160305957754,0.11357656651633725,6.9834855048524735,2.879451687088892e-12,1.2957532591900014e-09
ENSG00000220201,385.6706191150676,-1.2166659874879324,0.1743611673811769,-6.97784951638995,2.997324481957153e-12,1.2988406088480996e-09
ENSG00000175197,1199.9267130519802,-1.0448162733783524,0.15019761774610438,-6.956277263628246,3.493819341607797e-12,1.4422801050838495e-09
ENSG00000109881,2208.486297308795,-0.8296731830361938,0.11932518116593183,-6.953043564899034,3.574882311746294e-12,1.4422801050838495e-09
ENSG00000232931,792.8752034963461,-1.2105584386635189,0.17769400288404352,-6.8126015454414866,9.584935250347454e-12,3.738124747635507e-09
ENSG00000119004,1663.2688067974284,-0.9116204950394351,0.1342128059349526,-6.792351062843138,1.1032068629745085e-11,4.163716224774758e-09
ENSG00000078487,714.950061027901,-0.949040794355724,0.14021756764759183,-6.768344439841831,1.3026434432332785e-11,4.4826259664204e-09
ENSG00000128965,390.40102504284687,-1.2290892926726198,0.1815652475017535,-6.769408295829022,1.293101442598197e-11,4.4826259664204e-09
ENSG00000123689,9538.335986441834,0.7593963853680303,0.11213764053755486,6.77200252946029,1.2701191852090483e-11,4.4826259664204e-09
ENSG00000165617,172.92625594154964,1.6516916684583818,0.2451629616042052,6.737117457101443,1.6155957883489684e-11,5.400705921052266e-09
ENSG00000186481,721.783705434091,-1.170154055965934,0.1743728582663148,-6.710643316856058,1.937682266452664e-11,6.297467365971158e-09
ENSG00000167508,2603.4898142911516,-0.8847614802712988,0.13232150338804616,-6.6864527504395594,2.2864492220004905e-11,7.230123215515064e-09
ENSG00000187961,986.0147615930008,-1.0041065410115215,0.15089554869570412,-6.6543151848461894,2.8462215158044136e-11,8.763366246029378e-09
ENSG00000177426,930.005205261632,0.9040194926338617,0.1363460748618617,6.630330162050973,3.349368510037081e-11,1.0048105530111244e-08
ENSG00000011426,3670.7519008174568,0.7422985038169685,0.11214937834674087,6.618837435923604,3.620347080843035e-11,1.0589515211465877e-08
ENSG00000160285,965.3517864893022,-0.8862488867150518,0.1346008613411316,-6.584273517157873,4.571149403079516e-11,1.304449951610496e-08
