,symbol,rank
0,NUP62CL,-0.7405744893810731
1,MACROH2A2,-0.7482557772483412
2,GPRC5C,-0.7803721329929455
3,SPA17,-0.8045339406631432
4,PITPNM2,-0.8157135764846677
5,SLC9A2,-0.8174054828815345
6,PLCB2,-0.8238216162217036
7,HYAL3,-0.8246665927389819
8,LINC01910,-0.8413330916379268
9,GPNMB,-0.8434010224056657
10,SMIM3,-0.8484363103309824
11,MTURN,-0.8512330615484061
12,PDE3B,-0.8585396408523938
13,DMBX1,-0.8758490203637158
14,RDM1,-0.8800672749975093
15,CBX7,-0.8891944241612184
16,CCDC15,-0.971281083254676
17,GNAZ,-0.9712891923350325
18,HEBP1,-0.9760018582514145
19,IVL,-0.9882971291212638
20,NAT8L,-1.0044216024709214
21,PARP16,-1.00460270950884
22,TMEM158,-1.0095714737115127
23,HOGA1,-1.0195225790338178
24,MPV17L,-1.0210229800997181
25,CFAP68,-1.0216507494224931
26,FOXN3,-1.0314782995699965
27,RTL8B,-1.0349073000368345
28,ERICH2,-1.0439736823082493
29,AUNIP,-1.0495629525234476
30,CRACD,-1.0592087892057556
31,FAM24B,-1.0624824048677743
32,ADSS1,-1.0763233358529705
33,SCEL,-1.1052156879145336
34,GRAMD1B,-1.1125542015683152
35,CPM,-1.1328506175773891
36,AZGP1,-1.1364306329795306
37,SNX21,-1.137873520760191
38,TYRO3,-1.1466739233353138
39,PBX3,-1.1525571392893803
40,ACADSB,-1.1546887047706138
41,AADAT,-1.1645757794608638
42,OVOL2,-1.1665820997320413
43,REEP6,-1.1746340729235496
44,PRRT3-AS1,-1.1833869203227734
45,GPD1L,-1.1841443493655546
46,KDM4A-AS1,-1.190580278363699
47,PROM2,-1.1937501173121328
48,AKR1C2,-1.2004303099195606
49,FGFBP3,-1.2117961026366764
50,PKIG,-1.2129250006851569
51,NTRK2,-1.217559047978669
52,ZNF488,-1.244201704407021
53,CDC25C,-1.2443753341766017
54,NAAA,-1.24669968541649
55,DTD2,-1.2494754239399557
56,ST3GAL6,-1.2505170867905764
57,ARSL,-1.253232440545521
58,STEAP4,-1.3192854973282084
59,CEP97,-1.3263403916519982
60,IHH,-1.3381649772082178
61,BOLA3-DT,-1.3425753776709548
62,EAF2,-1.3474317227050783
63,ST6GALNAC2,-1.358599618703204
64,THRIL,-1.3600832233998938
65,ZBTB47,-1.3730288353536408
66,MNX1-AS1,-1.3921478110180403
67,RBBP9,-1.4037617468132264
68,PARVB,-1.4197254230688348
69,GYG2,-1.422735748762863
70,DAW1,-1.4250040085779387
71,KCNK15,-1.4314970771888134
72,PPP1R14C,-1.4781635996428808
73,NOSTRIN,-1.4801673139150455
74,GIPC2,-1.4905508766886233
75,ANXA13,-1.5025023765247547
76,PPP1R3C,-1.5191409233733348
77,MDFIC,-1.525167734309729
78,VWA2,-1.52798927636759
79,HAGHL,-1.5354688622913366
80,RASL10B,-1.5471016239994968
81,ETV1,-1.5513827529311552
82,SMOC2,-1.5735307444289626
83,GLS2,-1.5873452314732708
84,FBXO43,-1.6516544935604676
85,CGREF1,-1.6590826644830043
86,ADAMTS12,-1.6680813210201453
87,TYMSOS,-1.6780119869265109
88,CEP19,-1.7186276359402022
89,PRR15L,-1.7231896315901623
90,CNTNAP2,-1.7274572475094487
91,AGBL5,-1.738185110025
92,MOCS2-DT,-1.7381951748001379
93,HAGLROS,-1.7442953394287215
94,EDARADD,-1.7558416357437665
95,RBPMS2,-1.8048036578377906
96,C14orf132,-1.8320256531381638
97,KLK7,-1.8457229810598959
98,KLHDC9,-1.8476588899159483
99,TRIM54,-1.8500386305752845
100,TTC39A,-1.8806766370883223
101,MYCN,-1.8967273474077164
102,SERPINA5,-1.9003659194614
103,MIPEP,-1.9048992500947897
104,FAM81A,-1.9104951002099506
105,C11orf98,-1.9152057266966127
106,AGMAT,-1.9208283308833467
107,ELFN1-AS1,-1.9239094190796198
108,HES6,-1.9563863015083878
109,SFXN2,-2.007250816223477
110,CDON,-2.010564416167256
111,SAMD13,-2.011441851159078
112,ANAPC15,-2.0195722756561874
113,DLEU1,-2.0272065964229213
114,DMC1,-2.0370932417096737
115,ASIC1,-2.0452267821860386
116,PF4,-2.052617270986958
117,SIRPA,-2.0545730090729615
118,SCARA3,-2.0554116361547017
119,RNF224,-2.0560909781959604
120,DHRS4-AS1,-2.0718035356032507
121,PNPLA4,-2.0718512584845863
122,DARS2,-2.087237824401706
123,RNF208,-2.0907627154352353
124,STXBP6,-2.0985947736575508
125,ALKBH7,-2.1124882581483577
126,CYS1,-2.1325447488939515
127,CRABP2,-2.1459708819898666
128,LINC01559,-2.1473040164844535
129,STAC,-2.1610224202753443
130,PIERCE1,-2.1629369545500263
131,MIF-AS1,-2.1689574743653157
132,SLC22A3,-2.1783672544558104
133,NRCAM,-2.201767681706978
134,HACD2,-2.2090084164238935
135,CDKN3,-2.215838414696742
136,RANGRF,-2.2201290179546556
137,TRIM7,-2.234489762606223
138,GPX8,-2.283288855073693
139,RIBC2,-2.3148863573221306
140,MLLT11,-2.323379018446652
141,FFAR4,-2.334855523135204
142,PIGZ,-2.350941932680125
143,NRGN,-2.372382465170351
144,TMSB15A,-2.4159578998227547
145,GET1,-2.454035080492753
146,BRICD5,-2.4553197411481236
147,WNT7A,-2.4861195107236327
148,MGST2,-2.50250305553146
149,CDH6,-2.503076252767025
150,IL27RA,-2.505026647187495
151,ADA,-2.5144047524867386
152,SNTA1,-2.5298154634562944
153,HPDL,-2.5859433026492713
154,SLC39A4,-2.639812038216007
155,CD247,-2.6408338659601607
156,PCOLCE2,-2.6431899939139525
157,MRAP2,-2.6446758923331197
158,UQCC5,-2.6778078150670543
159,ICAM3,-2.6882366713037897
160,TCEA3,-2.705841895562108
161,RPL13P5,-2.7540357585788997
162,FAM216A,-2.7704025655005227
163,SLC25A19,-2.7901229854322795
164,CERS1,-2.8020717768936407
165,SMIM32,-2.8509739047286544
166,NRTN,-2.871865300444317
