,symbol,rank
0,IFIT2,inf
1,STAT3,inf
2,SIX1,inf
3,SLU7,inf
4,SOX6,inf
5,LCOR,inf
6,KLF3,inf
7,PITPNB,inf
8,CPEB2,inf
9,GIMAP2,inf
10,RNF122,inf
11,CLK4,inf
12,ARIH1,inf
13,TBC1D1,inf
14,ELK4,inf
15,ECPAS,inf
16,KMO,inf
17,DUSP10,inf
18,SCAMP1,inf
19,KCNT2,inf
20,ABCB1,inf
21,SCIN,inf
22,C1QTNF1,inf
23,PRR14L,inf
24,PDGFRL,inf
25,TNFAIP6,inf
26,EGOT,inf
27,EPC2,inf
28,ABHD16A,inf
29,B3GNT7,inf
30,ZMYM4,inf
31,ZNF296,inf
32,DYRK1A,inf
33,CCL22,inf
34,IL1RN,inf
35,C5orf15,inf
36,SYNE1,inf
37,SPAG9,inf
38,SEC24A,inf
39,TTC39B,inf
40,RIPK1,inf
41,RAB3GAP1,inf
42,GRHL2,inf
43,LIPG,inf
44,GBP5,inf
45,DIP2C,inf
46,PPFIA1,inf
47,MARK3,inf
48,CD74,inf
49,ETV6,inf
50,BCL2L11,inf
51,IL12A,inf
52,RESF1,inf
53,FAM161A,inf
54,CDK13,inf
55,NMUR2,inf
56,HIRA,inf
57,ZNF224,inf
58,DDIT3,inf
59,RBM11,inf
60,SMIM14,inf
61,ZNHIT6,inf
62,SOS1,inf
63,CHROMR,inf
64,AZI2,inf
65,LMO7,inf
66,C1GALT1,inf
67,FKRP,inf
68,PDE8A,inf
69,NBN,inf
70,ZNF608,inf
71,IRF2BPL,inf
72,CD40,inf
73,NRBF2,inf
74,STK38L,inf
75,C2CD4A,inf
76,PPP1R3B,inf
77,C1S,inf
78,SQOR,inf
79,INTS6,inf
80,PCF11,inf
81,SYNJ2BP,inf
82,RND1,inf
83,AHRR,inf
84,IFNL4,inf
85,DCAF5,inf
86,ZNF274,inf
87,ARFGEF2,inf
88,RPP38,inf
89,SPOP,inf
90,PLCH1,inf
91,VDR,inf
92,H3C4,inf
93,RIPK2-DT,inf
94,TAOK3,inf
95,RASGRF2,inf
96,PYGO1,inf
97,MFSD14A,inf
98,MKRN1,inf
99,CRYBG1,inf
100,PLEKHG7,inf
101,FAM133CP,inf
102,DGLUCY,inf
103,SERPINB1,inf
104,RBM43,inf
105,MTMR11,inf
106,RASGRP1,inf
107,TEP1,inf
108,MAFG,inf
109,HPS5,inf
110,OVOL1,inf
111,TAPBPL,inf
112,PARD3,inf
113,BTBD7,inf
114,GPR37,inf
115,BUB1,inf
116,EPHA7,inf
117,GSK3B,inf
118,EFR3A,inf
119,SLC1A1,inf
120,CRIM1,inf
121,LATS2,inf
122,TOPORS,inf
123,IL7,inf
124,CSF2,inf
125,BCL2L13,inf
126,TNFRSF11B,inf
127,MITF,inf
128,SSTR2,inf
129,LRIG3,inf
130,CALD1,inf
131,STON2,inf
132,AGO2,inf
133,PTPRK,inf
134,CBR3,inf
135,VPS13C,inf
136,FBXO38,inf
137,FBXO11,inf
138,SH3GLB1,inf
139,CALCOCO2,inf
140,APOL4,inf
141,DROSHA,inf
142,KANSL1,inf
143,ARHGAP27,inf
144,NF1,inf
145,TNFRSF9,inf
146,LRIF1,inf
147,SCO2,inf
148,RC3H1,inf
149,PGAP1,inf
150,PPP1R15B,inf
151,NR2F1-AS1,inf
152,ASAP1,inf
153,SPRY2,inf
154,YOD1,inf
155,PGLYRP2,inf
156,RAB9A,inf
157,CDK18,inf
158,ENC1,inf
159,RBM33,inf
160,CCND3,inf
161,IRF2,inf
162,CREBRF,inf
163,IFNGR2,inf
164,ZRSR2,inf
165,PHC2,inf
166,KCNH8,inf
167,MDN1,inf
168,SCAMP1-AS1,inf
169,PLPP3,inf
170,TJP1,inf
171,STX17,inf
172,SLC2A12,inf
173,NCOA3,inf
174,PKN2,inf
175,TBK1,inf
176,PTK2,inf
177,NOL6,inf
178,NR1D1,inf
179,CLK1,inf
180,GTF2E2,inf
181,UBR5,inf
182,USP30-AS1,inf
183,ARK2N,inf
184,KYNU,inf
185,RBM27,inf
186,B3GNT5,inf
187,B3GNT2,inf
188,INO80,inf
189,SCARB2,inf
190,TET2,inf
191,C4BPB,inf
192,RHOB,inf
193,MIR23AHG,inf
194,GARIN1A,inf
195,HMGCS1,inf
196,FAM135A,inf
197,CCNT2,inf
198,CYTH1,inf
199,FGD6,inf
200,IL22RA1,inf
201,NADK,inf
202,IL6ST,inf
203,IP6K2,inf
204,NAV2,inf
205,FOSB,inf
206,GATA3,inf
207,ROCK1,inf
208,MAML2,inf
209,TANK,inf
210,PGGHG,inf
211,ARL5B,inf
212,IL15,inf
213,MED13,inf
214,HDX,inf
215,PATL1,inf
216,FAR1,inf
217,TNFAIP8,inf
218,TASOR2,inf
219,SLC2A6,inf
220,VEZF1,inf
221,RFX5,inf
222,ZNF620,inf
223,ARHGEF12,inf
224,CCDC174,inf
225,SYNRG,inf
226,TNFRSF10A,inf
227,TNRC6A,inf
228,RNF31,inf
229,EGR2,inf
230,RYBP,inf
231,ARHGEF28,inf
232,METRNL,inf
233,FLRT3,inf
234,PTGER4,inf
235,BRWD3,inf
236,HIPK1-AS1,inf
237,SBNO2,inf
238,TGS1,inf
239,IFNAR2,inf
240,UPF2,inf
241,LRATD2,inf
242,SNRK,inf
243,INO80D,inf
244,MAD2L1BP,inf
245,BTN2A2,inf
246,TFAP2A,inf
247,CCL2,inf
248,FOXP1,inf
249,NR1D2,inf
250,GRIPAP1,inf
251,TSKU,inf
252,TREX1,inf
253,CSNK1G1,inf
254,BIRC2,inf
255,ETS1,inf
