,symbol,Rank
0,RRAD,59.4665191409057
1,BIRC3,50.82723114548937
2,STC1,37.38694147476211
3,TRAF1,32.93176240954945
4,ERRFI1,20.097476196527683
5,PRSS23,15.243659831263422
6,G0S2,13.013570050234016
7,C15orf48,12.233646511496909
8,MYBL1,12.224219724135315
9,GLIPR1,11.737374973001868
10,FGF5,11.129957080043743
11,RIPK4,10.412306524593092
12,CDKN1A,10.25414517006507
13,TNC,9.59206205946581
14,FHL2,9.531131504687007
15,GADD45A,9.253121431464002
16,MYL9,8.608181571486694
17,SPHK1,8.568273527682347
18,KITLG,8.410044544578843
19,FOXD1,7.924907360887753
20,DKK1,7.895217795645989
21,TMEM70,7.663342451462182
22,THBS1,7.400913087778605
23,ID3,7.081600581637338
24,PCNA,7.0500912634728214
25,ITGA2,7.045698409495641
26,TGFBI,6.896647078082692
27,DACT1,6.776373909344422
28,CLDN1,6.766061596444848
29,HSPA1B,6.64105636089347
30,CBLN2,6.467062069882472
31,TPM4,5.993835383408576
32,MMP1,5.914670654384831
33,KLF4,5.899463659592671
34,SNX3,5.863181136040751
35,KLF10,5.82406804908186
36,AMIGO2,5.510191382393782
37,ARL4C,5.507910995790765
38,NFKBIE,5.487417541327242
39,ANGPTL4,5.296870061905277
40,PSMC4,5.095068192566974
41,ZYX,5.015055208028272
42,PSMC2,5.00720592290085
43,CAPN2,4.9923703799567125
44,MAGEA6,4.939441003171355
45,PRDX3,4.8332615790799665
46,MAGEA3,4.770045275060253
47,PHLDA1,4.742226529725839
48,SMAD7,4.728245269088817
49,IRF2BP2,4.562278631813093
50,PMEPA1,4.550733171603599
51,B3GNT5,4.5486377707829755
52,PDCL3,4.508349672423446
53,PSMA5,4.41361284535073
54,SGK1,4.334472914954437
55,PEG10,4.223756517812937
56,F2RL1,4.172250349622188
57,TM4SF1,4.127793727335106
58,PCBP1,4.116792239684017
59,MEF2C,4.089271069043817
60,TXNDC9,4.056600334218004
61,MYL12A,4.053679315811504
62,ATP5F1C,4.035874463706087
63,FAM3C,4.024512000695153
64,MBNL2,3.9357098859465545
65,SRSF7,3.865684559842315
66,SEMA3C,3.79712799151403
67,ARPC5,3.6898731681254926
68,TXNRD1,3.6480131811435785
69,EGLN1,3.641668327941902
70,SDC4,3.6273881088319317
71,GEM,3.625296754012421
72,ATP5PB,3.6010116378965105
73,LAPTM4B,3.5863185835383273
74,MAP2K3,3.5176521458139796
75,TGIF1,3.4473781876508585
76,C1QBP,3.4470423400182746
77,SNRPA1,3.414417825461459
78,ARL14,3.4016159277113287
79,FBXO5,3.3998853090481913
80,ODC1,3.3277693830481954
81,TXN,3.324030797005813
82,PEPD,3.284806078051677
83,PLEK2,3.280334943185713
84,SLC25A5,3.2425756353589175
85,TFPI2,3.2378388021768743
86,NDFIP2,3.172610323613312
87,CD83,3.14798590813425
88,PSMA2,3.1222569930532464
89,ACTR3,3.1188856992231524
90,UBASH3B,3.118535639373773
91,BHLHE40,3.1095530452457334
92,CYC1,3.034925258659298
93,IL6ST,3.0040981592074223
94,CD9,3.0013824054779086
95,SEC23B,2.991182843628658
96,DAP,2.9730336897580605
97,RNF11,2.9621582531016144
98,FRMD5,2.950044116992868
99,DUSP1,2.9279062295073275
100,SETD9,2.8976093227816957
101,NDUFAF4,2.8964439575867673
102,PGAM1,2.88395417795595
103,MYC,2.8476103583106718
104,RNF128,2.818903311750972
105,CYSTM1,2.79461369921699
106,BZW1,2.7700295179710994
107,HBEGF,2.7007760998503603
108,EDARADD,2.6984276454610057
109,MAPRE1,2.697414202678762
110,UBE2T,2.6889348193077622
111,YRDC,2.6784676741136484
112,RAP2B,2.6678475717468775
113,DDX47,2.663759453002969
114,PTS,2.6296267148504016
115,MRPL50,2.6246334304896237
116,ANXA5,2.615484031262008
117,GLRX3,2.613827948163105
118,NT5E,2.6129314845212956
119,GATA6,2.611168961081108
120,BNC1,2.6073333541894277
121,ETFA,2.6057391180190734
122,PGM1,2.6018408682411533
123,SUMO2,2.5935354605847203
124,NAA20,2.559713689923112
125,TYMS,2.540987749175459
126,SERPINE1,2.538884172466785
127,ZNF706,2.5205486520526246
128,PCLAF,2.5071546485643093
129,PSMA3,2.5048663029746
130,RAB1A,2.5023165742025837
131,PPIF,2.4833207913682918
132,LDHA,2.482170871256292
133,CYRIB,2.4761179184502953
134,ARL6IP5,2.442854106200322
135,BTF3,2.4383371420783138
136,WDR1,2.412607290994106
137,EIF2S1,2.3919884372647457
138,SRPX,2.384707407573065
139,VDAC2,2.3736931385199873
140,MGAT2,2.3706241793260494
141,SLC25A4,2.3297773136186484
