,symbol,Rank
0,GLCCI1,-0.6667643481033416
1,CYB561D1,-0.7204271229657275
2,ABCD4,-0.7423697413328985
3,AGRN,-0.7427106095075284
4,MINCR,-0.7532578737169192
5,ZNF432,-0.772526137067443
6,C10orf95-AS1,-0.7726456551352132
7,ABHD18,-0.7731754093366748
8,EPS8L2,-0.7811001679395781
9,ZNF337,-0.7916136747011392
10,PBX4,-0.827078206147004
11,FCSK,-0.8349714591742383
12,FCHSD1,-0.8354108787135
13,ERBB2,-0.8378777053117564
14,MAPK11,-0.8381462635334894
15,ZNF90,-0.8409090916036963
16,LZTS2,-0.8425531104408724
17,MIR23AHG,-0.8485600106061202
18,SULT4A1,-0.8516101224371626
19,LINC01521,-0.8533994784613305
20,GGT7,-0.8538131745925475
21,MBD6,-0.8544178383868432
22,ZNF404,-0.8564831887910465
23,STARD8,-0.8649826009326377
24,CUL9,-0.8704112703979732
25,ATXN7L1,-0.8720513358545638
26,TOP3B,-0.8806262871582549
27,ZKSCAN4,-0.883608984352141
28,LVRN,-0.8855153808253021
29,CHTF18,-0.8969039190970337
30,HCFC1R1,-0.8980696793949099
31,KLHDC8B,-0.9011447683932496
32,MC1R,-0.9051881744286717
33,ROBO3,-0.9090308215278085
34,ZNF431,-0.9090756275735661
35,NSUN5P1,-0.9202201117146473
36,DOK3,-0.9208881465970037
37,TONSL,-0.9217887770821435
38,STARD9,-0.9248058392693588
39,CCDC171,-0.9316971234919722
40,IRF9,-0.9333075460459276
41,FAM193B,-0.93363669224991
42,ZNF225,-0.937539008553394
43,INTU,-0.9380274131748225
44,STK36,-0.9406003206080978
45,LINC01949,-0.942927162479377
46,INSR,-0.9454043816625856
47,NDOR1,-0.9543602886272688
48,ANKRD18B,-0.9590964643530098
49,MAP9,-0.9625379814528486
50,STAG3L5P-PVRIG2P-PILRB,-0.9677659772684053
51,FCGBP,-0.9716298973632839
52,CCT6P3,-0.9759014147633573
53,ANKRD36B,-0.9796000203169049
54,GOLGA6L9,-0.9817227770327369
55,LLGL2,-0.9859818877371674
56,EIF3J-DT,-0.9860117652969409
57,UBN2,-0.9918739252897467
58,TPT1-AS1,-0.9928753072276749
59,SPACA6,-0.998819304596982
60,ZNF112,-0.9999715256062683
61,CAND2,-1.00299762951981
62,ZCRB1,-1.0050788692476422
63,HRK,-1.0141148900976817
64,ICA1-AS1,-1.014700850038066
65,GAGE10,-1.0148517082538198
66,LAMA5,-1.01918122381467
67,DGKQ,-1.0234158186608187
68,GPR162,-1.0266852122323196
69,SYMPK,-1.0312380427841537
70,PROCA1,-1.0321037410217273
71,GOLGB1,-1.032471114673469
72,RETREG3,-1.032943924553779
73,SPIRE2,-1.0363798186029145
74,LAT,-1.0370807044967325
75,LINC02076,-1.0380850392868082
76,LPAR2,-1.0400135537620772
77,STAT2,-1.0416394008174232
78,IHO1,-1.04916838137849
79,ARHGAP4,-1.050057188044106
80,RPS6KA5,-1.0503109325063942
81,FRG1BP,-1.053372604612814
82,FBXO44,-1.0540550414292875
83,NAPB,-1.0541954446220028
84,RPL13P5,-1.0586221099219144
85,NPR2,-1.0587449952552501
86,MVK,-1.0595092108187616
87,SH3BP2,-1.0603369096052113
88,DOCK6,-1.060733787615066
89,PEG3,-1.0613720782065657
90,PPOX,-1.064031071768731
91,ZNF276,-1.0656103145277667
92,NEXN,-1.0669409101444844
93,JDP2,-1.0698912707514625
94,CCDC57,-1.0775135672659302
95,BMS1P1,-1.0810088145866945
96,TRIM66,-1.0842543490659147
97,GUSBP11,-1.0898623368959346
98,WASH8P,-1.0947831071127736
99,ZNF471,-1.0974745930184049
100,STAT6,-1.0999871342819338
101,NIBAN1,-1.1040412714588201
102,KLHL24,-1.1071994519086612
103,CCDC150,-1.1093771220858955
104,ZNF587,-1.1111209488966063
105,SCN8A,-1.1131121516620528
106,NEB,-1.1152305484783884
107,CDK5RAP3,-1.1163543335824524
108,CLTCL1,-1.1301235147700168
109,SMARCA4,-1.1304121524510777
110,NISCH,-1.1314998788598396
111,LTB4R,-1.1326616489414574
112,TNRC18,-1.1377618928699231
113,TUBGCP6,-1.1442036877036421
114,MNT,-1.149686960783459
115,AGAP5,-1.1506950532187123
116,TRO,-1.1508389537293187
117,SPG7,-1.1595061646103801
118,UBE2Q2P1,-1.1637927061570816
119,ABTB1,-1.1665122886212165
120,POLH,-1.1701045802563352
121,PLAC8L1,-1.1736234166396629
122,FERMT3,-1.1817665448580394
123,AGPAT4,-1.1825801790637138
124,HCN3,-1.1829687530024104
125,FRG1JP,-1.189782246517855
126,CYB5D2,-1.190714523176057
127,BPTF,-1.1952094656793013
128,TECPR1,-1.1963762058852216
129,LAMB2,-1.1993917104955845
130,ATF7IP,-1.201180953612872
131,FAM133CP,-1.208621058150909
132,CCNL2,-1.212747424218122
133,ZNF44,-1.2156245948590814
134,TM7SF2,-1.2174061690389055
135,KIF27,-1.2224955174650645
136,PAPLN,-1.2300062603501274
137,MYO18A,-1.2321972939731827
138,PDCD4,-1.234311780000719
139,FAR2P1,-1.2355862269617661
140,KMT2E-AS1,-1.2470072108109778
141,RSRP1,-1.247211133248454
